ID,Language_ID,Name,Description,Source
afar1241-suffix-it-,afar1241,Suffix -(i)t-,,Mous2001;FufaTeso2009
ahte1237-prefixd-,ahte1237,Prefix d-,,Rice2000
akka1240-n-stem,akka1240,N-stem,,Kouwenberg2010[288-300]
akka1240-t-stem,akka1240,T-stem,,Kouwenberg2010[268-280]
akun1241-pronounte,akun1241,Pronoun te,,Aragon2014[237-239]
alab1254-suffix-akk---,alab1254,Suffix -akk'-/ -ʔ-,,Schneider-Blum2007[90-92]
amha1245-prefixta-,amha1245,Prefix tä-,,Amberber2000;FufaTeso2009[114-134]
guer1243-temaextendido,guer1243,Tema extendido,,ApóstolPolanco2014
apin1244-a-seriesprefixes,apin1244,a-series prefixes,,CunhadeOliveira2005[130-134]
nucl1235-suffix-v-,nucl1235,Suffix -v-,,Dum-Tragut2009[334-363]
sout2996-suffix-si-,sout2996,Suffix -si-,,"Coler2014[350-361,483-484]"
bali1278-prefixma-,bali1278,Prefix ma-,,Shibatani&Artawa2007;Udayana2013
bard1255-circumfixma--inyj,bard1255,Circumfix (ma)-...-inyj,,McGregor2000;Bowern2012[478-487]
batu1258-prefixr-,batu1258,Prefix r-,,Daigle2015[87-93]
bell1243-suffix-m-,bell1243,Suffix -m-,,Beck2000
bidy1244-suffix-ok-,bidy1244,Suffix -ok-,,Segerer2002[207-208]
bidy1244-prefixn-,bidy1244,Prefix nɛ-,,Segerer2002[205-206]
brib1243-suffix-r-,brib1243,Suffix -r-,,SánchezAvendaño2009
bull1246-suffix-n-,bull1246,Suffix -n-,,Childs2011[176-178]
gahr1239-middle--,gahr1239,Middle -ɕ-,,Widmer2018[408-420]
gahr1239-suffix-s-,gahr1239,Suffix -s-,,Widmer2018[361-382]
buru1296-prefixdd-,buru1296,Prefix dd-,,Karim2013
bwat1240-prefixve-,bwat1240,Prefix ve-,,Bril2005
cadd1256-suffix-u,cadd1256,Suffix -uˀ,,Melnar2004[180-185]
cavi1250-circumfixka--ti,cavi1250,Circumfix k(a)-...-ti,,Guillaume2008[268-278]
cavi1250-suffix-tana,cavi1250,Suffix -ta(na),,Guillaume2008[256-267]
chit1248-preverbaps,chit1248,Preverb ʔapš,,Hieber2018
chuw1238-suffix-uw-,chuw1238,Suffix -uw-,,"Guèrois2015[254-257,269-271]"
colu1241-suffix-m-,colu1241,Suffix -m-,,Willett2003[170-178]
daai1236-prefixng-,daai1236,Prefix ng-,,"So-Hartmann2009[56-59,202-209]"
daas1238-suffix-s-,daas1238,Suffix -s-,,Tosco2001[184-194]
daga1275-intensivesuffixes,daga1275,Intensive suffixes,,Murane1974[43-48]
dulo1243-suffix-,dulo1243,Suffix -ɕɯ̌,,LaPolla&Jiangling2005
eton1256-suffix-ba-,eton1256,Suffix -bà-,,vandeVelde2008[130-132]
fass1245-suffix-ni-nu,fass1245,Suffix -ni/-nu,,Honeyman2017[196-197]
nort2626-reflexivepronoun,nort2626,Reflexive pronoun,,Lasswell1998[266-267]
fwee1238-suffix-uk-,fwee1238,Suffix -uk-,,Gunnink2018[234-239]
gara1269-reflexivepronouns,gara1269,Reflexive pronouns,,Mushin2012[99-103]
stan1295-reflexivepronouns,stan1295,Reflexive pronouns,,Steinbach2002
mode1248-middleinflection,mode1248,Middle inflection,,Manney2000
guah1255-prefixna-,guah1255,Prefix na-,,Queixalós1995[265-267]
halk1245-suffix-m,halk1245,Suffix -m,,Gerdts2006
hame1242-suffix-a-,hame1242,Suffix -(a)ʔ-,,Petrollino2016[142-148]
hame1242-suffix-vm-,hame1242,Suffix -Vm-,,Petrollino2016[148-150]
haus1257-grade7,haus1257,Grade 7,,Newman2000[664-670]
bibl1238-n-stem,bibl1238,N-stem,,Gzella2009
bibl1238-t-stem,bibl1238,T-stem,,Gzella2009
hida1246-middleinflection,hida1246,Middle inflection,,Park2012[79-83]
hida1246-prefixhgi-,hida1246,Prefix hgi-,,Park2012[162-178]
hinu1240-suffix--,hinu1240,Suffix -ł-,,Forker2013[328-330]
hitt1242-middleinflection,hitt1242,Middle inflection,,Inglese2020[103-151]
hooo1248-suffix-o-,hooo1248,Suffix -oʔ-,,Pucilowski2013[107-111]
hooo1248-suffix-en-,hooo1248,Suffix -en-,,Pucilowski2013[111-115]
huas1242-suffix-vn-,huas1242,Suffix -(V)n-,,Kondic2011
sand1278-preaspiration,sand1278,Preaspiration,,Salminen2016[143]
hupd1244-prefixhup-,hupd1244,Prefix hup-,,Epps2008[473-487]
wyan1247-suffix-at-,wyan1247,Suffix -at-,,Lukaniec2010;Lukaniec2018
idaa1241-prefixb-,idaa1241,Prefix b-,,Goudswaard2005[172-177]
idaa1241-infix-r-,idaa1241,Infix -ər-,,Goudswaard2005[213-229]
iraq1241-suffix-t-,iraq1241,Suffix -t-,,Mous&Qorro2000
ital1282-reflexivepronoun,ital1282,Reflexive pronoun,,Serianni1988[254-255];Ježek2003
nucl1305-suffix-kollu-,nucl1305,Suffix -koLLu-,,Schifmann1983[86-88]
kano1245-suffix-ry,kano1245,Suffix -ry,,Bacelar2004[195-198]
karb1241-prefixche-,karb1241,Prefix che-,,Konnerth2014[239-243]
kaya1319-suffix-yii-,kaya1319,Suffix -yii-,,Evans1995[276-279]
east2774-suffix-uj-,east2774,Suffix -uj-,,Filchenko2007[258-261]
khar1287-middleinflection,khar1287,Middle inflection,,Peterson2011[162-186]
kiow1266-reflexiveprefixes,kiow1266,Reflexive prefixes,,Watkins1984[140-141]
kons1243-suffix-a-,kons1243,Suffix -aʔ-,,Mous2007
koyu1237-prefixd-,koyu1237,Prefix d-,,Rice2000
kryt1240-suffix-ar-,kryt1240,Suffix -aR-,,Authier2012
kuru1301-suffix-r-,kuru1301,Suffix -rʔ-,,Kobayashi2017[149-152]
kusu1250-suffix-q,kusu1250,Suffix -q,,Watters2006[99-101]
laal1242-suffix--,laal1242,Suffix -ɨɲ-,,Boyeldieu1982[196-202]
kart1248-prefix-i-,kart1248,Prefix -i-,,Lacroix2012
lewo1244-senclitics,lewo1244,S enclitics,,Nagaya2009[356-361]
lika1243-suffix-an-,lika1243,Suffix -an-,,deWit2015[375-377]
lith1251-suffix-s-,lith1251,Suffix -s-,,Geniušienė1987;Holvoet2020
lumu1239-suffix-ak,lumu1239,Suffix -(a)kɔ,,Smits2017[529-546]
makw1236-suffix-an-,makw1236,Suffix -an-,,Devos2007[205-209]
makw1236-suffix-iw-,makw1236,Suffix -iw-,,Devos2007[231-234]
mapu1245-suffix-uw-,mapu1245,Suffix -(u)w-,,Smeets2008[290-293]
masa1300-neuterform,masa1300,Neuter form,,Tucker&Mpaayei1955[134-139]
mikm1235-suffix-asi,mikm1235,Suffix -asi,,McCulloch2013
lush1249-prefixin-,lush1249,Prefix in-,,Chhangte1993[152-155]
movi1243-reduplication,movi1243,Reduplication,,Haude2006[92-94]
movi1243-suffix-che-,movi1243,Suffix -cheł-,,Haude2006[332]
mund1325-suffix-k,mund1325,Suffix -k,,Elders2000[176-179]
cree1270-suffix-k-,cree1270,Suffix -k-,,Hardy1994;Martin2000;Martin2011
muss1248-prefixai-,muss1248,Prefix ai-,,Brownie&Brownie2007[107-109]
nava1243-prefixd-,nava1243,Prefix d-,,Rice2000
nene1251-reflexiveinflection,nene1251,Reflexive inflection,,Nikolaeva2014[224-226]
nias1242-prefixa-,nias1242,Prefix a-,,Brown2001[190-195]
nisg1240-medialsuffixes,nisg1240,Medial suffixes,,Tarpent1989[633-669]
sout2986-suffix-ni-,sout2986,Suffix -n(i)-,,Okrand1977[208-215]
