ID,Construction_ID,Parameter_ID,Code_ID,Value
fass1245-suffix-ni-nu-impersonal,fass1245-suffix-ni-nu,impersonal,impersonal-no,no
fass1245-suffix-ni-nu-facilitative,fass1245-suffix-ni-nu,facilitative,facilitative-no,no
fass1245-suffix-ni-nu-syncretismpattern,fass1245-suffix-ni-nu,syncretismpattern,oppositional-passantcantp,PASS/ANTC/ANTP
fass1245-suffix-ni-nu-voicefunctions,fass1245-suffix-ni-nu,voicefunctions,number_opp_functions-3,3
fass1245-suffix-ni-nu-diachronicsourcetype,fass1245-suffix-ni-nu,diachronicsourcetype,source-unknown,unknown
nort2626-reflexivepronoun-synthesis,nort2626-reflexivepronoun,synthesis,n-analytic,analytic
nort2626-reflexivepronoun-strategy,nort2626-reflexivepronoun,strategy,type2-objectpronouns,object pronouns
nort2626-reflexivepronoun-passive,nort2626-reflexivepronoun,passive,passive-no,no
nort2626-reflexivepronoun-anticausative,nort2626-reflexivepronoun,anticausative,anticausative-no,no
nort2626-reflexivepronoun-reflexive,nort2626-reflexivepronoun,reflexive,reflexive-mid,middle marker
nort2626-reflexivepronoun-reciprocal,nort2626-reflexivepronoun,reciprocal,reciprocal-mid,middle marker
nort2626-reflexivepronoun-antipassive,nort2626-reflexivepronoun,antipassive,antipassive-no,no
nort2626-reflexivepronoun-self-benefactive,nort2626-reflexivepronoun,self-benefactive,selfbenefactive-mid,middle marker
nort2626-reflexivepronoun-impersonal,nort2626-reflexivepronoun,impersonal,impersonal-no,no
nort2626-reflexivepronoun-facilitative,nort2626-reflexivepronoun,facilitative,facilitative-no,no
nort2626-reflexivepronoun-syncretismpattern,nort2626-reflexivepronoun,syncretismpattern,oppositional-reflselfrecp,REFL/SELF/RECP
nort2626-reflexivepronoun-voicefunctions,nort2626-reflexivepronoun,voicefunctions,number_opp_functions-3,3
nort2626-reflexivepronoun-diachronicsourcetype,nort2626-reflexivepronoun,diachronicsourcetype,source-refl,reflexive
fwee1238-suffix-uk--synthesis,fwee1238-suffix-uk-,synthesis,n-synth,synthetic
fwee1238-suffix-uk--strategy,fwee1238-suffix-uk-,strategy,type2-suffix,suffix
fwee1238-suffix-uk--passive,fwee1238-suffix-uk-,passive,passive-compt,construction in competition
fwee1238-suffix-uk--anticausative,fwee1238-suffix-uk-,anticausative,anticausative-compt,construction in competition
fwee1238-suffix-uk--reflexive,fwee1238-suffix-uk-,reflexive,reflexive-compl,construction in complementary distribution
fwee1238-suffix-uk--reciprocal,fwee1238-suffix-uk-,reciprocal,reciprocal-compl,construction in complementary distribution
fwee1238-suffix-uk--antipassive,fwee1238-suffix-uk-,antipassive,antipassive-no,no
fwee1238-suffix-uk--self-benefactive,fwee1238-suffix-uk-,self-benefactive,selfbenefactive-no,no
fwee1238-suffix-uk--impersonal,fwee1238-suffix-uk-,impersonal,impersonal-no,no
fwee1238-suffix-uk--facilitative,fwee1238-suffix-uk-,facilitative,facilitative-mid,middle marker
fwee1238-suffix-uk--otheroppositionalfunctions,fwee1238-suffix-uk-,otheroppositionalfunctions,other_opp_class-other,other
fwee1238-suffix-uk--syncretismpattern,fwee1238-suffix-uk-,syncretismpattern,oppositional-passantcfac,PASS/ANTC/FAC
fwee1238-suffix-uk--voicefunctions,fwee1238-suffix-uk-,voicefunctions,number_opp_functions-3,3
fwee1238-suffix-uk--diachronicsourcetype,fwee1238-suffix-uk-,diachronicsourcetype,source-norefl,non-reflexive voice marker
fwee1238-suffix-uk--nonreflexivesourcetype,fwee1238-suffix-uk-,nonreflexivesourcetype,source_2-lex,lexical source
gara1269-reflexivepronouns-synthesis,gara1269-reflexivepronouns,synthesis,n-analytic,analytic
gara1269-reflexivepronouns-strategy,gara1269-reflexivepronouns,strategy,type2-reflexivepronouns,reflexive pronouns
gara1269-reflexivepronouns-passive,gara1269-reflexivepronouns,passive,passive-no,no
gara1269-reflexivepronouns-anticausative,gara1269-reflexivepronouns,anticausative,anticausative-no,no
gara1269-reflexivepronouns-reflexive,gara1269-reflexivepronouns,reflexive,reflexive-mid,middle marker
gara1269-reflexivepronouns-reciprocal,gara1269-reflexivepronouns,reciprocal,reciprocal-mid,middle marker
gara1269-reflexivepronouns-antipassive,gara1269-reflexivepronouns,antipassive,antipassive-no,no
gara1269-reflexivepronouns-self-benefactive,gara1269-reflexivepronouns,self-benefactive,selfbenefactive-no,no
gara1269-reflexivepronouns-impersonal,gara1269-reflexivepronouns,impersonal,impersonal-no,no
gara1269-reflexivepronouns-facilitative,gara1269-reflexivepronouns,facilitative,facilitative-no,no
gara1269-reflexivepronouns-otheroppositionalfunctions,gara1269-reflexivepronouns,otheroppositionalfunctions,other_opp_class-other,other
gara1269-reflexivepronouns-syncretismpattern,gara1269-reflexivepronouns,syncretismpattern,oppositional-reflrecp,REFL/RECP
gara1269-reflexivepronouns-voicefunctions,gara1269-reflexivepronouns,voicefunctions,number_opp_functions-2,2
gara1269-reflexivepronouns-diachronicsourcetype,gara1269-reflexivepronouns,diachronicsourcetype,source-norefl,non-reflexive voice marker
gara1269-reflexivepronouns-nonreflexivesourcetype,gara1269-reflexivepronouns,nonreflexivesourcetype,source_2-uncontr,marker of uncontrolled situations
stan1295-reflexivepronouns-synthesis,stan1295-reflexivepronouns,synthesis,n-analytic,analytic
stan1295-reflexivepronouns-strategy,stan1295-reflexivepronouns,strategy,type2-cliticpronoun,clitic pronoun
stan1295-reflexivepronouns-passive,stan1295-reflexivepronouns,passive,passive-compl,construction in complementary distribution
stan1295-reflexivepronouns-anticausative,stan1295-reflexivepronouns,anticausative,anticausative-mid,middle marker
stan1295-reflexivepronouns-reflexive,stan1295-reflexivepronouns,reflexive,reflexive-mid,middle marker
stan1295-reflexivepronouns-reciprocal,stan1295-reflexivepronouns,reciprocal,reciprocal-mid,middle marker
stan1295-reflexivepronouns-antipassive,stan1295-reflexivepronouns,antipassive,antipassive-no,no
stan1295-reflexivepronouns-self-benefactive,stan1295-reflexivepronouns,self-benefactive,selfbenefactive-mid,middle marker
stan1295-reflexivepronouns-impersonal,stan1295-reflexivepronouns,impersonal,impersonal-mid,middle marker
stan1295-reflexivepronouns-facilitative,stan1295-reflexivepronouns,facilitative,facilitative-mid,middle marker
stan1295-reflexivepronouns-syncretismpattern,stan1295-reflexivepronouns,syncretismpattern,oppositional-antcreflselfrecpimpfac,ANTC/REFL/SELF/RECP/IMP/FAC
stan1295-reflexivepronouns-voicefunctions,stan1295-reflexivepronouns,voicefunctions,number_opp_functions-6,6
stan1295-reflexivepronouns-diachronicsourcetype,stan1295-reflexivepronouns,diachronicsourcetype,source-refl,reflexive
mode1248-middleinflection-synthesis,mode1248-middleinflection,synthesis,n-synth,synthetic
mode1248-middleinflection-strategy,mode1248-middleinflection,strategy,type2-tamvoicepersonendings,TAM/voice/person endings
mode1248-middleinflection-passive,mode1248-middleinflection,passive,passive-mid,middle marker
mode1248-middleinflection-anticausative,mode1248-middleinflection,anticausative,anticausative-mid,middle marker
mode1248-middleinflection-reflexive,mode1248-middleinflection,reflexive,reflexive-compt,construction in competition
mode1248-middleinflection-reciprocal,mode1248-middleinflection,reciprocal,reciprocal-mid,middle marker
mode1248-middleinflection-antipassive,mode1248-middleinflection,antipassive,antipassive-no,no
mode1248-middleinflection-self-benefactive,mode1248-middleinflection,self-benefactive,selfbenefactive-mid,middle marker
mode1248-middleinflection-impersonal,mode1248-middleinflection,impersonal,impersonal-no,no
mode1248-middleinflection-facilitative,mode1248-middleinflection,facilitative,facilitative-mid,middle marker
mode1248-middleinflection-syncretismpattern,mode1248-middleinflection,syncretismpattern,oppositional-passantcreflselfrecpfac,PASS/ANTC/REFL/SELF/RECP/FAC
mode1248-middleinflection-voicefunctions,mode1248-middleinflection,voicefunctions,number_opp_functions-6,6
mode1248-middleinflection-diachronicsourcetype,mode1248-middleinflection,diachronicsourcetype,source-norefl,non-reflexive voice marker
mode1248-middleinflection-nonreflexivesourcetype,mode1248-middleinflection,nonreflexivesourcetype,source_2-uncontr,marker of uncontrolled situations
guah1255-prefixna--synthesis,guah1255-prefixna-,synthesis,n-synth,synthetic
guah1255-prefixna--strategy,guah1255-prefixna-,strategy,type2-prefix,prefix
guah1255-prefixna--passive,guah1255-prefixna-,passive,passive-no,no
guah1255-prefixna--anticausative,guah1255-prefixna-,anticausative,anticausative-mid,middle marker
guah1255-prefixna--reflexive,guah1255-prefixna-,reflexive,reflexive-mid,middle marker
guah1255-prefixna--reciprocal,guah1255-prefixna-,reciprocal,reciprocal-mid,middle marker
guah1255-prefixna--antipassive,guah1255-prefixna-,antipassive,antipassive-mid,middle marker
guah1255-prefixna--self-benefactive,guah1255-prefixna-,self-benefactive,selfbenefactive-no,no
guah1255-prefixna--impersonal,guah1255-prefixna-,impersonal,impersonal-no,no
guah1255-prefixna--facilitative,guah1255-prefixna-,facilitative,facilitative-no,no
guah1255-prefixna--syncretismpattern,guah1255-prefixna-,syncretismpattern,oppositional-antcreflrecpantp,ANTC/REFL/RECP/ANTP
guah1255-prefixna--voicefunctions,guah1255-prefixna-,voicefunctions,number_opp_functions-4,4
guah1255-prefixna--diachronicsourcetype,guah1255-prefixna-,diachronicsourcetype,source-unknown,unknown
halk1245-suffix-m-synthesis,halk1245-suffix-m,synthesis,n-synth,synthetic
halk1245-suffix-m-strategy,halk1245-suffix-m,strategy,type2-suffix,suffix
halk1245-suffix-m-passive,halk1245-suffix-m,passive,passive-mid,middle marker
halk1245-suffix-m-anticausative,halk1245-suffix-m,anticausative,anticausative-no,no
halk1245-suffix-m-reflexive,halk1245-suffix-m,reflexive,reflexive-compt,construction in competition
halk1245-suffix-m-reciprocal,halk1245-suffix-m,reciprocal,reciprocal-compl,construction in complementary distribution
halk1245-suffix-m-antipassive,halk1245-suffix-m,antipassive,antipassive-mid,middle marker
halk1245-suffix-m-self-benefactive,halk1245-suffix-m,self-benefactive,selfbenefactive-mid,middle marker
halk1245-suffix-m-impersonal,halk1245-suffix-m,impersonal,impersonal-no,no
halk1245-suffix-m-facilitative,halk1245-suffix-m,facilitative,facilitative-no,no
halk1245-suffix-m-otheroppositionalfunctions,halk1245-suffix-m,otheroppositionalfunctions,other_opp_class-aspect,aspect
halk1245-suffix-m-syncretismpattern,halk1245-suffix-m,syncretismpattern,oppositional-passreflselfantp,PASS/REFL/SELF/ANTP
halk1245-suffix-m-voicefunctions,halk1245-suffix-m,voicefunctions,number_opp_functions-4,4
halk1245-suffix-m-diachronicsourcetype,halk1245-suffix-m,diachronicsourcetype,source-refl,reflexive
hame1242-suffix-a--synthesis,hame1242-suffix-a-,synthesis,n-synth,synthetic
hame1242-suffix-a--strategy,hame1242-suffix-a-,strategy,type2-suffix,suffix
hame1242-suffix-a--passive,hame1242-suffix-a-,passive,passive-mid,middle marker
hame1242-suffix-a--anticausative,hame1242-suffix-a-,anticausative,anticausative-mid,middle marker
hame1242-suffix-a--reflexive,hame1242-suffix-a-,reflexive,reflexive-no,no
hame1242-suffix-a--reciprocal,hame1242-suffix-a-,reciprocal,reciprocal-no,no
hame1242-suffix-a--antipassive,hame1242-suffix-a-,antipassive,antipassive-no,no
hame1242-suffix-a--self-benefactive,hame1242-suffix-a-,self-benefactive,selfbenefactive-no,no
hame1242-suffix-a--impersonal,hame1242-suffix-a-,impersonal,impersonal-no,no
hame1242-suffix-a--facilitative,hame1242-suffix-a-,facilitative,facilitative-no,no
hame1242-suffix-a--otheroppositionalfunctions,hame1242-suffix-a-,otheroppositionalfunctions,other_opp_class-aspect,aspect
hame1242-suffix-a--syncretismpattern,hame1242-suffix-a-,syncretismpattern,oppositional-passantc,PASS/ANTC
hame1242-suffix-a--voicefunctions,hame1242-suffix-a-,voicefunctions,number_opp_functions-2,2
hame1242-suffix-a--diachronicsourcetype,hame1242-suffix-a-,diachronicsourcetype,source-unknown,unknown
hame1242-suffix-vm--synthesis,hame1242-suffix-vm-,synthesis,n-synth,synthetic
hame1242-suffix-vm--strategy,hame1242-suffix-vm-,strategy,type2-suffix,suffix
hame1242-suffix-vm--passive,hame1242-suffix-vm-,passive,passive-mid,middle marker
hame1242-suffix-vm--anticausative,hame1242-suffix-vm-,anticausative,anticausative-mid,middle marker
hame1242-suffix-vm--reflexive,hame1242-suffix-vm-,reflexive,reflexive-no,no
hame1242-suffix-vm--reciprocal,hame1242-suffix-vm-,reciprocal,reciprocal-mid,middle marker
hame1242-suffix-vm--antipassive,hame1242-suffix-vm-,antipassive,antipassive-no,no
hame1242-suffix-vm--self-benefactive,hame1242-suffix-vm-,self-benefactive,selfbenefactive-no,no
hame1242-suffix-vm--impersonal,hame1242-suffix-vm-,impersonal,impersonal-no,no
hame1242-suffix-vm--facilitative,hame1242-suffix-vm-,facilitative,facilitative-mid,middle marker
hame1242-suffix-vm--otheroppositionalfunctions,hame1242-suffix-vm-,otheroppositionalfunctions,other_opp_class-aspect,aspect
hame1242-suffix-vm--syncretismpattern,hame1242-suffix-vm-,syncretismpattern,oppositional-passantcrecpfac,PASS/ANTC/RECP/FAC
hame1242-suffix-vm--voicefunctions,hame1242-suffix-vm-,voicefunctions,number_opp_functions-4,4
hame1242-suffix-vm--diachronicsourcetype,hame1242-suffix-vm-,diachronicsourcetype,source-unknown,unknown
haus1257-grade7-synthesis,haus1257-grade7,synthesis,n-synth,synthetic
haus1257-grade7-strategy,haus1257-grade7,strategy,type2-suffix,suffix
haus1257-grade7-passive,haus1257-grade7,passive,passive-mid,middle marker
haus1257-grade7-anticausative,haus1257-grade7,anticausative,anticausative-compt,construction in competition
haus1257-grade7-reflexive,haus1257-grade7,reflexive,reflexive-compl,construction in complementary distribution
haus1257-grade7-reciprocal,haus1257-grade7,reciprocal,reciprocal-compl,construction in complementary distribution
haus1257-grade7-antipassive,haus1257-grade7,antipassive,antipassive-no,no
haus1257-grade7-self-benefactive,haus1257-grade7,self-benefactive,selfbenefactive-no,no
haus1257-grade7-impersonal,haus1257-grade7,impersonal,impersonal-no,no
haus1257-grade7-facilitative,haus1257-grade7,facilitative,facilitative-mid,middle marker
haus1257-grade7-otheroppositionalfunctions,haus1257-grade7,otheroppositionalfunctions,other_opp_class-other,other
haus1257-grade7-syncretismpattern,haus1257-grade7,syncretismpattern,oppositional-passantc,PASS/ANTC
haus1257-grade7-voicefunctions,haus1257-grade7,voicefunctions,number_opp_functions-2,2
haus1257-grade7-diachronicsourcetype,haus1257-grade7,diachronicsourcetype,source-norefl,non-reflexive voice marker
haus1257-grade7-nonreflexivesourcetype,haus1257-grade7,nonreflexivesourcetype,source_2-aspect,aspectual markers
bibl1238-n-stem-synthesis,bibl1238-n-stem,synthesis,n-synth,synthetic
bibl1238-n-stem-strategy,bibl1238-n-stem,strategy,type2-prefixvoweltemplate,prefix+vowel template
bibl1238-n-stem-passive,bibl1238-n-stem,passive,passive-mid,middle marker
bibl1238-n-stem-anticausative,bibl1238-n-stem,anticausative,anticausative-no,no
bibl1238-n-stem-reflexive,bibl1238-n-stem,reflexive,reflexive-mid,middle marker
bibl1238-n-stem-reciprocal,bibl1238-n-stem,reciprocal,reciprocal-mid,middle marker
bibl1238-n-stem-antipassive,bibl1238-n-stem,antipassive,antipassive-no,no
bibl1238-n-stem-self-benefactive,bibl1238-n-stem,self-benefactive,selfbenefactive-mid,middle marker
bibl1238-n-stem-impersonal,bibl1238-n-stem,impersonal,impersonal-no,no
bibl1238-n-stem-facilitative,bibl1238-n-stem,facilitative,facilitative-no,no
bibl1238-n-stem-otheroppositionalfunctions,bibl1238-n-stem,otheroppositionalfunctions,other_opp_class-other,other
bibl1238-n-stem-syncretismpattern,bibl1238-n-stem,syncretismpattern,oppositional-passreflselfrecp,PASS/REFL/SELF/RECP
bibl1238-n-stem-voicefunctions,bibl1238-n-stem,voicefunctions,number_opp_functions-4,4
bibl1238-n-stem-diachronicsourcetype,bibl1238-n-stem,diachronicsourcetype,source-norefl,non-reflexive voice marker
bibl1238-n-stem-nonreflexivesourcetype,bibl1238-n-stem,nonreflexivesourcetype,source_2-lex,lexical source
bibl1238-t-stem-synthesis,bibl1238-t-stem,synthesis,n-synth,synthetic
bibl1238-t-stem-strategy,bibl1238-t-stem,strategy,type2-prefixvoweltemplate,prefix+vowel template
bibl1238-t-stem-passive,bibl1238-t-stem,passive,passive-mid,middle marker
bibl1238-t-stem-anticausative,bibl1238-t-stem,anticausative,anticausative-mid,middle marker
bibl1238-t-stem-reflexive,bibl1238-t-stem,reflexive,reflexive-mid,middle marker
bibl1238-t-stem-reciprocal,bibl1238-t-stem,reciprocal,reciprocal-mid,middle marker
bibl1238-t-stem-antipassive,bibl1238-t-stem,antipassive,antipassive-no,no
bibl1238-t-stem-self-benefactive,bibl1238-t-stem,self-benefactive,selfbenefactive-mid,middle marker
bibl1238-t-stem-impersonal,bibl1238-t-stem,impersonal,impersonal-no,no
bibl1238-t-stem-facilitative,bibl1238-t-stem,facilitative,facilitative-mid,middle marker
bibl1238-t-stem-otheroppositionalfunctions,bibl1238-t-stem,otheroppositionalfunctions,other_opp_class-aspectother,"aspect, other"
bibl1238-t-stem-syncretismpattern,bibl1238-t-stem,syncretismpattern,oppositional-passantcreflselfrecpfac,PASS/ANTC/REFL/SELF/RECP/FAC
bibl1238-t-stem-voicefunctions,bibl1238-t-stem,voicefunctions,number_opp_functions-6,6
bibl1238-t-stem-diachronicsourcetype,bibl1238-t-stem,diachronicsourcetype,source-unknown,unknown
hida1246-middleinflection-synthesis,hida1246-middleinflection,synthesis,n-synth,synthetic
hida1246-middleinflection-strategy,hida1246-middleinflection,strategy,type2-personindexes,person indexes
hida1246-middleinflection-passive,hida1246-middleinflection,passive,passive-no,no
hida1246-middleinflection-anticausative,hida1246-middleinflection,anticausative,anticausative-mid,middle marker
hida1246-middleinflection-reflexive,hida1246-middleinflection,reflexive,reflexive-no,no
hida1246-middleinflection-reciprocal,hida1246-middleinflection,reciprocal,reciprocal-no,no
hida1246-middleinflection-antipassive,hida1246-middleinflection,antipassive,antipassive-no,no
hida1246-middleinflection-self-benefactive,hida1246-middleinflection,self-benefactive,selfbenefactive-no,no
hida1246-middleinflection-impersonal,hida1246-middleinflection,impersonal,impersonal-no,no
hida1246-middleinflection-facilitative,hida1246-middleinflection,facilitative,facilitative-no,no
hida1246-middleinflection-syncretismpattern,hida1246-middleinflection,syncretismpattern,oppositional-antc,ANTC
hida1246-middleinflection-voicefunctions,hida1246-middleinflection,voicefunctions,number_opp_functions-1,1
hida1246-middleinflection-diachronicsourcetype,hida1246-middleinflection,diachronicsourcetype,source-unknown,unknown
hida1246-prefixhgi--synthesis,hida1246-prefixhgi-,synthesis,n-synth,synthetic
hida1246-prefixhgi--strategy,hida1246-prefixhgi-,strategy,type2-suffix,suffix
hida1246-prefixhgi--passive,hida1246-prefixhgi-,passive,passive-no,no
hida1246-prefixhgi--anticausative,hida1246-prefixhgi-,anticausative,anticausative-no,no
hida1246-prefixhgi--reflexive,hida1246-prefixhgi-,reflexive,reflexive-mid,middle marker
hida1246-prefixhgi--reciprocal,hida1246-prefixhgi-,reciprocal,reciprocal-no,no
hida1246-prefixhgi--antipassive,hida1246-prefixhgi-,antipassive,antipassive-no,no
hida1246-prefixhgi--self-benefactive,hida1246-prefixhgi-,self-benefactive,selfbenefactive-no,no
hida1246-prefixhgi--impersonal,hida1246-prefixhgi-,impersonal,impersonal-no,no
hida1246-prefixhgi--facilitative,hida1246-prefixhgi-,facilitative,facilitative-no,no
hida1246-prefixhgi--otheroppositionalfunctions,hida1246-prefixhgi-,otheroppositionalfunctions,other_opp_class-aspectother,"aspect, other"
hida1246-prefixhgi--syncretismpattern,hida1246-prefixhgi-,syncretismpattern,oppositional-refl,REFL
hida1246-prefixhgi--voicefunctions,hida1246-prefixhgi-,voicefunctions,number_opp_functions-1,1
hida1246-prefixhgi--diachronicsourcetype,hida1246-prefixhgi-,diachronicsourcetype,source-unknown,unknown
hinu1240-suffix---synthesis,hinu1240-suffix--,synthesis,n-synth,synthetic
hinu1240-suffix---strategy,hinu1240-suffix--,strategy,type2-suffix,suffix
hinu1240-suffix---passive,hinu1240-suffix--,passive,passive-no,no
hinu1240-suffix---anticausative,hinu1240-suffix--,anticausative,anticausative-mid,middle marker
hinu1240-suffix---reflexive,hinu1240-suffix--,reflexive,reflexive-compl,construction in complementary distribution
hinu1240-suffix---reciprocal,hinu1240-suffix--,reciprocal,reciprocal-compl,construction in complementary distribution
hinu1240-suffix---antipassive,hinu1240-suffix--,antipassive,antipassive-compl,construction in complementary distribution
hinu1240-suffix---self-benefactive,hinu1240-suffix--,self-benefactive,selfbenefactive-no,no
hinu1240-suffix---impersonal,hinu1240-suffix--,impersonal,impersonal-no,no
hinu1240-suffix---facilitative,hinu1240-suffix--,facilitative,facilitative-mid,middle marker
hinu1240-suffix---otheroppositionalfunctions,hinu1240-suffix--,otheroppositionalfunctions,other_opp_class-lowtrans,lowered transitivity
hinu1240-suffix---syncretismpattern,hinu1240-suffix--,syncretismpattern,oppositional-antcfac,ANTC/FAC
hinu1240-suffix---voicefunctions,hinu1240-suffix--,voicefunctions,number_opp_functions-2,2
hinu1240-suffix---diachronicsourcetype,hinu1240-suffix--,diachronicsourcetype,source-unknown,unknown
hitt1242-middleinflection-synthesis,hitt1242-middleinflection,synthesis,n-synth,synthetic
hitt1242-middleinflection-strategy,hitt1242-middleinflection,strategy,type2-tamvoicepersonendings,TAM/voice/person endings
hitt1242-middleinflection-passive,hitt1242-middleinflection,passive,passive-compt,construction in competition
hitt1242-middleinflection-anticausative,hitt1242-middleinflection,anticausative,anticausative-mid,middle marker
hitt1242-middleinflection-reflexive,hitt1242-middleinflection,reflexive,reflexive-compt,construction in competition
hitt1242-middleinflection-reciprocal,hitt1242-middleinflection,reciprocal,reciprocal-compt,construction in competition
hitt1242-middleinflection-antipassive,hitt1242-middleinflection,antipassive,antipassive-no,no
hitt1242-middleinflection-self-benefactive,hitt1242-middleinflection,self-benefactive,selfbenefactive-no,no
hitt1242-middleinflection-impersonal,hitt1242-middleinflection,impersonal,impersonal-no,no
hitt1242-middleinflection-facilitative,hitt1242-middleinflection,facilitative,facilitative-no,no
hitt1242-middleinflection-syncretismpattern,hitt1242-middleinflection,syncretismpattern,oppositional-passantcreflrecp,PASS/ANTC/REFL/RECP
hitt1242-middleinflection-voicefunctions,hitt1242-middleinflection,voicefunctions,number_opp_functions-4,4
hitt1242-middleinflection-diachronicsourcetype,hitt1242-middleinflection,diachronicsourcetype,source-norefl,non-reflexive voice marker
hitt1242-middleinflection-nonreflexivesourcetype,hitt1242-middleinflection,nonreflexivesourcetype,source_2-uncontr,marker of uncontrolled situations
hooo1248-suffix-o--synthesis,hooo1248-suffix-o-,synthesis,n-synth,synthetic
hooo1248-suffix-o--strategy,hooo1248-suffix-o-,strategy,type2-suffix,suffix
hooo1248-suffix-o--passive,hooo1248-suffix-o-,passive,passive-no,no
hooo1248-suffix-o--anticausative,hooo1248-suffix-o-,anticausative,anticausative-mid,middle marker
hooo1248-suffix-o--reflexive,hooo1248-suffix-o-,reflexive,reflexive-mid,middle marker
hooo1248-suffix-o--reciprocal,hooo1248-suffix-o-,reciprocal,reciprocal-mid,middle marker
hooo1248-suffix-o--antipassive,hooo1248-suffix-o-,antipassive,antipassive-no,no
hooo1248-suffix-o--self-benefactive,hooo1248-suffix-o-,self-benefactive,selfbenefactive-no,no
hooo1248-suffix-o--impersonal,hooo1248-suffix-o-,impersonal,impersonal-no,no
hooo1248-suffix-o--facilitative,hooo1248-suffix-o-,facilitative,facilitative-no,no
hooo1248-suffix-o--syncretismpattern,hooo1248-suffix-o-,syncretismpattern,oppositional-antcreflrecp,ANTC/REFL/RECP
hooo1248-suffix-o--voicefunctions,hooo1248-suffix-o-,voicefunctions,number_opp_functions-3,3
hooo1248-suffix-o--diachronicsourcetype,hooo1248-suffix-o-,diachronicsourcetype,source-norefl,non-reflexive voice marker
hooo1248-suffix-o--nonreflexivesourcetype,hooo1248-suffix-o-,nonreflexivesourcetype,source_2-voice,voice
hooo1248-suffix-en--synthesis,hooo1248-suffix-en-,synthesis,n-synth,synthetic
hooo1248-suffix-en--strategy,hooo1248-suffix-en-,strategy,type2-suffix,suffix
hooo1248-suffix-en--passive,hooo1248-suffix-en-,passive,passive-mid,middle marker
hooo1248-suffix-en--anticausative,hooo1248-suffix-en-,anticausative,anticausative-mid,middle marker
hooo1248-suffix-en--reflexive,hooo1248-suffix-en-,reflexive,reflexive-no,no
hooo1248-suffix-en--reciprocal,hooo1248-suffix-en-,reciprocal,reciprocal-no,no
hooo1248-suffix-en--antipassive,hooo1248-suffix-en-,antipassive,antipassive-no,no
hooo1248-suffix-en--self-benefactive,hooo1248-suffix-en-,self-benefactive,selfbenefactive-no,no
hooo1248-suffix-en--impersonal,hooo1248-suffix-en-,impersonal,impersonal-no,no
hooo1248-suffix-en--facilitative,hooo1248-suffix-en-,facilitative,facilitative-no,no
hooo1248-suffix-en--otheroppositionalfunctions,hooo1248-suffix-en-,otheroppositionalfunctions,other_opp_class-aspect,aspect
hooo1248-suffix-en--syncretismpattern,hooo1248-suffix-en-,syncretismpattern,oppositional-passantc,PASS/ANTC
hooo1248-suffix-en--voicefunctions,hooo1248-suffix-en-,voicefunctions,number_opp_functions-2,2
hooo1248-suffix-en--diachronicsourcetype,hooo1248-suffix-en-,diachronicsourcetype,source-unknown,unknown
huas1242-suffix-vn--synthesis,huas1242-suffix-vn-,synthesis,n-synth,synthetic
huas1242-suffix-vn--strategy,huas1242-suffix-vn-,strategy,type2-suffix,suffix
huas1242-suffix-vn--passive,huas1242-suffix-vn-,passive,passive-mid,middle marker
huas1242-suffix-vn--anticausative,huas1242-suffix-vn-,anticausative,anticausative-mid,middle marker
huas1242-suffix-vn--reflexive,huas1242-suffix-vn-,reflexive,reflexive-mid,middle marker
huas1242-suffix-vn--reciprocal,huas1242-suffix-vn-,reciprocal,reciprocal-no,no
huas1242-suffix-vn--antipassive,huas1242-suffix-vn-,antipassive,antipassive-mid,middle marker
huas1242-suffix-vn--self-benefactive,huas1242-suffix-vn-,self-benefactive,selfbenefactive-no,no
huas1242-suffix-vn--impersonal,huas1242-suffix-vn-,impersonal,impersonal-no,no
huas1242-suffix-vn--facilitative,huas1242-suffix-vn-,facilitative,facilitative-no,no
huas1242-suffix-vn--syncretismpattern,huas1242-suffix-vn-,syncretismpattern,oppositional-passantcreflantp,PASS/ANTC/REFL/ANTP
huas1242-suffix-vn--voicefunctions,huas1242-suffix-vn-,voicefunctions,number_opp_functions-4,4
huas1242-suffix-vn--diachronicsourcetype,huas1242-suffix-vn-,diachronicsourcetype,source-norefl,non-reflexive voice marker
huas1242-suffix-vn--nonreflexivesourcetype,huas1242-suffix-vn-,nonreflexivesourcetype,source_2-voice,voice
sand1278-preaspiration-synthesis,sand1278-preaspiration,synthesis,n-synth,synthetic
sand1278-preaspiration-strategy,sand1278-preaspiration,strategy,type2-preaspiration,preaspiration
sand1278-preaspiration-passive,sand1278-preaspiration,passive,passive-mid,middle marker
sand1278-preaspiration-anticausative,sand1278-preaspiration,anticausative,anticausative-no,no
sand1278-preaspiration-reflexive,sand1278-preaspiration,reflexive,reflexive-compl,construction in complementary distribution
sand1278-preaspiration-reciprocal,sand1278-preaspiration,reciprocal,reciprocal-compl,construction in complementary distribution
sand1278-preaspiration-antipassive,sand1278-preaspiration,antipassive,antipassive-no,no
sand1278-preaspiration-self-benefactive,sand1278-preaspiration,self-benefactive,selfbenefactive-no,no
sand1278-preaspiration-impersonal,sand1278-preaspiration,impersonal,impersonal-no,no
sand1278-preaspiration-facilitative,sand1278-preaspiration,facilitative,facilitative-no,no
sand1278-preaspiration-syncretismpattern,sand1278-preaspiration,syncretismpattern,oppositional-pass,PASS
sand1278-preaspiration-voicefunctions,sand1278-preaspiration,voicefunctions,number_opp_functions-1,1
