ID,Name,Description,ColumnSpec
synthesis,Synthesis,nature of the middle marker (analytic or synthetic),
strategy,Strategy,"morphosyntactic strategy of middle marker (suffix, prefix, person index, etc.)",
passive,Passive,"Is the function ""Passive"" marked by the middle marker, by a different construction, by the middle and a competing construction, or does it not receive overt coding?",
anticausative,Anticausative,"Is the function ""Anticausative"" marked by the middle marker, by a different construction, by the middle and a competing construction, or does it not receive overt coding?",
reflexive,Reflexive,"Is the function ""Reflexive"" marked by the middle marker, by a different construction, by the middle and a competing construction, or does it not receive overt coding?",
reciprocal,Reciprocal,"Is the function ""Reciprocal"" marked by the middle marker, by a different construction, by the middle and a competing construction, or does it not receive overt coding?",
antipassive,Antipassive,"Is the function ""Antipassive"" marked by the middle marker, by a different construction, by the middle and a competing construction, or does it not receive overt coding ?",
self-benefactive,Self-benefactive,"Is the function ""Self-benefactive"" marked by the middle marker, or does it not receive overt coding?",
impersonal,Impersonal,"Is the function ""Impersonal"" marked by the middle marker, or does it not receive overt coding?",
facilitative,Facilitative,"Is the function ""Facilitative"" marked by the middle marker, or does it not receive overt coding?",
otheroppositionalfunctions,Other oppositional functions,list of the other oppositional functions associated to the middle marker,
syncretismpattern,Syncretism pattern,the syncretism pattern of the middle marker (includes all the oppositional valency related functions associated to the middle marker),
voicefunctions,Voice functions,number of voice-related functions associated to the middle marker,
diachronicsourcetype,Diachronic source type,diachronic source of the middle marker,
nonreflexivesourcetype,Nonreflexive source type,more specific diachronic source of the middle marker if the source is not reflexive,
onevsseveralmiddlemarkers,One vs. several middle markers,Does the language have a single middle marker or several?,
multiplemiddlemarkerscognacy,Multiple middle markers: Cognacy,"If a language has more than one middle marker, are they cognate with each other?",
multiplemiddlemarkersco-occurrence,Multiple middle markers: Co-occurrence,"If a language has more than one middle marker, can they co-occur?",
middle-markers,Middle markers,What are the shapes of the middle markers?,
