ID,Parameter_ID,Name,Description,Map_Icon
anticausative-compl,anticausative,construction in complementary distribution,,
anticausative-compt,anticausative,construction in competition,,
anticausative-mid,anticausative,middle marker,,
anticausative-no,anticausative,no,,
antipassive-compl,antipassive,construction in complementary distribution,,
antipassive-compt,antipassive,construction in competition,,
antipassive-mid,antipassive,middle marker,,
antipassive-no,antipassive,no,,
co-occurence-no,multiplemiddlemarkersco-occurrence,no,,cFFFFFF
co-occurence-yes,multiplemiddlemarkersco-occurrence,yes,,cFF0000
cognate-no,multiplemiddlemarkerscognacy,no,,cFFFFFF
cognate-yes,multiplemiddlemarkerscognacy,yes,,cFF0000
facilitative-mid,facilitative,middle marker,,
facilitative-no,facilitative,no,,
impersonal-mid,impersonal,middle marker,,
impersonal-no,impersonal,no,,
multiplemarkinglanguage-no,onevsseveralmiddlemarkers,a single middle marker,,cFFFF00
multiplemarkinglanguage-yes,onevsseveralmiddlemarkers,multiple middle markers,,cFF0000
n-analytic,synthesis,analytic,,
n-synth,synthesis,synthetic,,
number_opp_functions-1,voicefunctions,1,,
number_opp_functions-2,voicefunctions,2,,
number_opp_functions-3,voicefunctions,3,,
number_opp_functions-4,voicefunctions,4,,
number_opp_functions-5,voicefunctions,5,,
number_opp_functions-6,voicefunctions,6,,
number_opp_functions-7,voicefunctions,7,,
number_opp_functions-8,voicefunctions,8,,
oppositional-antc,syncretismpattern,ANTC,,
oppositional-antcantp,syncretismpattern,ANTC/ANTP,,
oppositional-antcantpimp,syncretismpattern,ANTC/ANTP/IMP,,
oppositional-antcfac,syncretismpattern,ANTC/FAC,,
oppositional-antcrefl,syncretismpattern,ANTC/REFL,,
oppositional-antcreflantp,syncretismpattern,ANTC/REFL/ANTP,,
oppositional-antcreflimp,syncretismpattern,ANTC/REFL/IMP,,
oppositional-antcreflrecp,syncretismpattern,ANTC/REFL/RECP,,
oppositional-antcreflrecpantp,syncretismpattern,ANTC/REFL/RECP/ANTP,,
oppositional-antcreflrecpantpfac,syncretismpattern,ANTC/REFL/RECP/ANTP/FAC,,
oppositional-antcreflrecpantpimp,syncretismpattern,ANTC/REFL/RECP/ANTP/IMP,,
oppositional-antcreflself,syncretismpattern,ANTC/REFL/SELF,,
oppositional-antcreflselfrecp,syncretismpattern,ANTC/REFL/SELF/RECP,,
oppositional-antcreflselfrecpantpimpfac,syncretismpattern,ANTC/REFL/SELF/RECP/ANTP/IMP/FAC,,
oppositional-antcreflselfrecpimpfac,syncretismpattern,ANTC/REFL/SELF/RECP/IMP/FAC,,
oppositional-antcself,syncretismpattern,ANTC/SELF,,
oppositional-antcselfrecp,syncretismpattern,ANTC/SELF/RECP,,
oppositional-pass,syncretismpattern,PASS,,
oppositional-passantc,syncretismpattern,PASS/ANTC,,
oppositional-passantcantp,syncretismpattern,PASS/ANTC/ANTP,,
oppositional-passantcfac,syncretismpattern,PASS/ANTC/FAC,,
oppositional-passantcimpfac,syncretismpattern,PASS/ANTC/IMP/FAC,,
oppositional-passantcrecp,syncretismpattern,PASS/ANTC/RECP,,
oppositional-passantcrecpfac,syncretismpattern,PASS/ANTC/RECP/FAC,,
